Lat,Long,date,species,group_size,behavior,calves
9.61974,-82.6008,2005-09-03,MSG,11,Social,No
9.61742,-82.59801,2005-09-04,MSG,12,Social,No
9.37137,-82.36112,2004-07-14,SG,4,Foraging,No
9.37049,-82.36178,2004-07-23,SG,12,Foraging,No
9.37038,-82.36186,2004-07-23,SG,4,Foraging,No
9.37374,-82.36372,2004-07-25,MSG,30,Foraging,No
9.6152,-82.60003,2005-09-03,MSG,12,Foraging,No
9.62067,-82.5901,2005-09-03,MSG,9,Foraging,No
9.62245,-82.60727,2005-09-04,SG,8,Foraging,No
9.6214,-82.60062,2005-09-05,SG,5,Foraging,No
9.62224,-82.6111,2005-09-05,MSG,11,Foraging,No
9.5868,-82.57911,2005-11-03,SG,18,Foraging,No
9.3678,-82.3474,2003-10-08,SG,7,Foraging,Yes
9.377,-82.3678,2003-09-14,TT,10,Foraging,Yes
9.63276,-82.61454,2005-11-02,TT,12,Resting,No
9.61894,-82.61142,2005-09-05,SG,5,Travel,Yes
9.5908,-82.57434,2005-11-26,MSG,16,Travel,Yes
9.59012,-82.58645,2005-11-26,SG,25,Travel,Yes
9.59292,-82.58612,2005-11-26,MSG,16,Travel,Yes
9.2316,-82.3607,2003-08-17,MSG,6,Travel,No
9.375,-82.3664,2003-09-15,MSG,8,Travel,No
9.3668,-82.3573,2003-08-17,SG,6,Travel,No
9.3657,-82.36,2003-08-19,SG,5,Travel,No
9.3559,-82.3411,2003-08-31,SG,4,Travel,No
9.3698,-82.3602,2003-09-02,SG,4,Travel,No
9.3639,-82.3618,2003-09-05,SG,5,Travel,No
9.3628,-82.3353,2003-09-06,SG,5,Travel,No
9.3528,-82.3437,2003-09-14,SG,6,Travel,No
9.368,-82.3646,2003-09-17,SG,4,Travel,No
9.3823,-82.3905,2003-09-21,SG,5,Travel,No
9.3735,-82.3612,2003-08-17,TT,4,Travel,No
9.3663,-82.3568,2003-08-20,TT,4,Travel,No
9.3825,-82.3903,2003-08-22,TT,12,Travel,No
9.3669,-82.3404,2003-08-23,TT,5,Travel,No
9.3735,-82.3599,2003-08-31,TT,8,Travel,No
9.3774,-82.3658,2003-09-15,TT,4,Travel,No
9.3592,-82.3583,2003-09-17,TT,6,Travel,No
9.3728,-82.3682,2003-09-17,TT,5,Travel,No
9.3713,-82.3653,2003-09-27,TT,4,Travel,No
9.3671,-82.3547,2003-10-08,TT,7,Travel,No
9.3661,-82.3542,2003-10-09,TT,8,Travel,No
9.36103,-82.35404,2004-07-14,SG,4,Travel,No
9.35938,-82.346,2004-07-23,MSG,8,Travel,No
9.37229,-82.36122,2004-07-26,SG,7,Travel,No
9.37241,-82.36231,2004-07-26,SG,12,Travel,No
9.37241,-82.36231,2004-07-26,SG,7,Travel,No
9.35833,-82.34819,2004-07-27,Mixed,17,Travel,No
9.35682,-82.34461,2004-07-27,TT,6,Travel,No
9.60642,-82.59497,2005-09-03,TT,5,Travel,No
9.6055,-82.59429,2005-09-03,MSG,12,Travel,No
9.61974,-82.6008,2005-09-03,TT,11,Travel,No
9.6173,-82.6022,2005-09-04,SG,5,Travel,No
9.60909,-82.59597,2005-09-05,SG,9,Travel,No
9.59209,-82.58689,2005-11-02,SG,7,Travel,No
9.59901,-82.57355,2005-11-03,TT,8,Travel,No
